Participant,Live_With,Another_Dog,Consider_Getting_Another_Dog,MostImp1_Rec,MostImp2_Rec,MostImp3_Rec,MostImp4_Rec,MostImp5_Rec,MostImp6_Rec,MostImpT2_1_Rec,MostImpT2_2_Rec,MostImpT2_3_Rec,MostImpT2_4_Rec,MostImpT2_5_Rec,MostImpT2_6_Rec,Where_Purchased_Rec,ExpectationsMet_YesNo,ExpectationsMet_Rec,Time_Thinking_Rec,Where_Dog_Is_Now_Rec,Live_With_Time_Rec,Where_Would_You_Purchase_Rec,First,Second,Third,Fourth,Fifth,Sixth,Shelter,Breeder,Yes,appearance,breed,size,age,personality,trainability,compatibility,rank_sum
P101,0,1,#NULL!,3,5,1,4,2,5,8,8,8,8,8,8,2,4,4,1,5,3,8,0,1,0,0,0,0,0,0,0,3,5,1,4,6,7,0,26
P107,0,1,#NULL!,3,5,4,3,2,6,8,8,8,8,8,8,2,4,4,2,5,3,8,0,1,0,0,0,0,0,0,0,7,5,4,3,2,6,0,27
P112,1,1,#NULL!,3,5,2,6,7,1,8,8,8,8,8,8,2,4,4,3,11,5,8,0,1,0,0,0,0,0,0,0,6,3,1,7,2,4,5,28
P113,1,1,#NULL!,3,2,5,1,7,4,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,4,2,1,6,3,7,5,28
P120,0,1,#NULL!,3,5,1,2,7,4,8,8,8,8,8,8,2,4,4,1,5,3,8,0,1,0,0,0,0,0,0,0,3,4,1,6,2,7,5,28
P132,1,1,#NULL!,3,5,2,7,6,1,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,6,3,1,7,2,5,4,28
P146,1,1,#NULL!,3,5,4,6,1,7,8,8,8,8,8,8,2,4,4,4,11,5,8,0,1,0,0,0,0,0,0,0,5,7,1,3,2,4,6,28
P150,1,1,#NULL!,3,5,6,7,1,4,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,5,7,1,6,2,3,4,28
P155,1,1,#NULL!,3,2,1,4,5,6,8,8,8,8,8,8,3,4,4,4,11,5,8,0,1,0,0,0,0,0,0,0,3,2,1,4,5,6,7,28
P184,1,1,#NULL!,3,1,5,6,2,7,8,8,8,8,8,8,7,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,2,5,1,7,3,4,6,28
P190,1,1,#NULL!,3,1,5,6,2,7,8,8,8,8,8,8,7,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,2,5,1,7,3,4,6,28
P212,1,1,#NULL!,3,6,5,1,7,2,8,8,8,8,8,8,7,4,4,3,11,5,8,0,1,0,0,0,0,0,0,0,4,6,1,7,3,2,5,28
P225,1,1,#NULL!,3,3,5,4,7,1,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,6,7,2,4,3,0,5,27
P226,1,1,#NULL!,3,4,5,1,6,7,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,4,7,1,2,3,5,6,28
P248,1,1,#NULL!,3,7,5,2,4,1,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,6,4,1,5,3,7,2,28
P249,1,1,#NULL!,3,7,2,1,5,1,8,8,8,8,8,8,2,4,4,4,11,5,8,0,1,0,0,0,0,0,0,0,6,3,1,7,5,0,2,24
P265,1,1,#NULL!,3,5,6,2,7,4,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,7,4,1,6,2,3,5,28
P284,1,1,#NULL!,3,6,7,5,4,1,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,6,7,1,5,4,2,3,28
P297,1,1,#NULL!,3,2,1,5,7,6,8,8,8,8,8,8,7,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,3,2,1,7,4,6,5,28
P341,1,1,#NULL!,3,5,1,6,7,2,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,3,6,1,7,2,4,5,28
P416,1,1,#NULL!,3,2,1,5,6,4,8,8,8,8,8,8,7,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,3,2,1,6,4,5,7,28
P455,1,1,#NULL!,3,1,7,4,6,2,8,8,8,8,8,8,7,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,2,6,1,4,7,5,3,28
P466,1,1,#NULL!,3,5,1,2,7,6,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,3,4,1,7,2,6,5,28
P471,1,1,#NULL!,3,5,7,4,1,2,8,8,8,8,8,8,7,4,4,4,11,5,8,0,1,0,0,0,0,0,0,0,5,6,1,4,2,7,3,28
P488,1,1,#NULL!,3,5,2,4,7,1,8,8,8,8,8,8,5,4,4,4,11,5,8,0,1,0,0,0,0,0,0,0,6,3,1,4,2,7,5,28
P518,1,1,#NULL!,3,5,1,4,6,2,8,8,8,8,8,8,7,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,3,6,1,4,2,5,7,28
P533,1,1,#NULL!,3,2,5,1,7,6,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,4,2,1,7,3,6,5,28
P541,1,1,#NULL!,3,5,4,7,2,6,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,7,5,1,3,2,6,4,28
P593,1,1,#NULL!,3,5,2,7,6,4,8,8,8,8,8,8,7,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,7,3,1,6,2,5,4,28
P596,1,1,#NULL!,3,6,5,7,2,4,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,7,5,1,6,3,2,4,28
P610,1,1,#NULL!,3,5,1,7,6,4,8,8,8,8,8,8,7,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,3,7,1,6,2,5,4,28
P630,0,1,#NULL!,3,5,7,4,1,2,8,8,8,8,8,8,2,4,4,2,5,3,8,0,1,0,0,0,0,0,0,0,5,6,1,4,2,7,3,28
P636,1,1,#NULL!,3,4,7,5,2,6,8,8,8,8,8,8,7,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,7,5,1,2,4,6,3,28
P638,1,1,#NULL!,3,5,6,2,1,7,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,5,4,1,7,2,3,6,28
P646,1,1,#NULL!,3,6,2,5,5,1,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,6,3,1,7,5,2,0,24
P651,1,1,#NULL!,3,5,2,6,4,7,8,8,8,8,8,8,7,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,7,3,1,5,2,4,6,28
P701,0,1,#NULL!,3,6,5,1,2,7,8,8,8,8,8,8,2,4,4,2,5,3,8,0,1,0,0,0,0,0,0,0,4,5,1,7,3,2,6,28
P753,1,1,#NULL!,3,5,1,7,2,6,8,8,8,8,8,8,2,4,4,4,11,5,8,0,1,0,0,0,0,0,0,0,3,5,1,7,2,6,4,28
P783,1,1,#NULL!,3,4,5,7,2,6,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,7,5,1,2,3,6,4,28
P789,0,1,#NULL!,3,7,6,5,2,1,8,8,8,8,8,8,2,4,4,2,7,2,8,0,1,0,0,0,0,0,0,0,6,5,1,7,4,3,2,28
P844,1,1,#NULL!,3,2,5,7,4,1,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,6,2,1,5,3,7,4,28
P851,1,1,#NULL!,3,4,7,1,5,6,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,4,7,1,2,5,6,3,28
P861,1,1,#NULL!,3,2,4,5,1,7,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,5,2,1,3,4,7,6,28
P893,1,1,#NULL!,3,5,1,2,6,7,8,8,8,8,8,8,6,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,3,4,1,7,2,5,6,28
P898,1,1,#NULL!,3,5,7,1,6,2,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,4,6,1,7,2,5,3,28
P905,1,1,#NULL!,3,5,4,1,2,7,8,8,8,8,8,8,3,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,4,5,1,3,2,7,6,28
P926,1,1,#NULL!,3,4,5,7,6,1,8,8,8,8,8,8,7,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,6,7,1,2,3,5,4,28
P929,1,1,#NULL!,3,5,4,1,2,6,8,8,8,8,8,8,7,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,4,5,1,3,2,6,7,28
P939,1,1,#NULL!,3,1,2,5,4,6,8,8,8,8,8,8,7,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,2,3,1,5,4,6,7,28
P956,1,1,#NULL!,3,2,1,6,7,5,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,3,2,1,7,6,4,5,28
P957,1,1,#NULL!,3,2,5,7,1,6,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,5,2,1,7,3,6,4,28
P966,1,1,#NULL!,3,1,5,2,4,6,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,2,4,1,5,3,6,7,28
P979,1,1,#NULL!,3,5,6,7,2,1,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,6,5,1,7,2,3,4,28
P989,1,1,#NULL!,3,5,7,6,2,4,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,7,5,1,6,2,4,3,28
P1005,1,1,#NULL!,3,6,2,4,5,1,8,8,8,8,8,8,7,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,6,3,1,4,5,2,7,28
P1045,1,1,#NULL!,3,5,1,7,2,6,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,3,5,1,7,2,6,4,28
P1063,1,1,#NULL!,3,6,2,1,4,5,8,8,8,8,8,8,7,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,4,3,1,5,6,2,7,28
P1108,1,1,#NULL!,3,5,7,2,4,6,8,8,8,8,8,8,7,4,4,4,11,5,8,0,1,0,0,0,0,0,0,0,7,4,1,5,2,6,3,28
P1116,1,1,#NULL!,3,7,5,2,6,4,8,8,8,8,8,8,2,4,4,3,11,5,8,0,1,0,0,0,0,0,0,0,7,4,1,6,3,5,2,28
P1128,1,1,#NULL!,3,1,2,7,5,6,8,8,8,8,8,8,4,4,4,4,11,5,8,0,1,0,0,0,0,0,0,0,2,3,1,7,5,6,4,28
P1151,1,1,#NULL!,3,6,5,2,4,7,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,7,4,1,5,3,2,6,28
P1164,1,1,#NULL!,3,5,7,1,6,2,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,4,6,1,7,2,5,3,28
P1165,1,1,#NULL!,3,5,2,6,7,4,8,8,8,8,8,8,2,4,4,4,11,5,8,0,1,0,0,0,0,0,0,0,7,3,1,6,2,4,5,28
P1218,1,1,#NULL!,3,1,5,2,6,7,8,8,8,8,8,8,7,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,2,4,1,7,3,5,6,28
P1220,1,1,#NULL!,3,1,5,7,4,6,8,8,8,8,8,8,6,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,2,7,1,5,3,6,4,28
P1223,1,1,#NULL!,3,2,1,6,5,7,8,8,8,8,8,8,7,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,3,2,1,7,5,4,6,28
P1259,1,1,#NULL!,3,5,4,2,6,1,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,6,4,1,3,2,5,7,28
P1338,1,1,#NULL!,3,5,6,1,2,7,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,4,5,1,7,2,3,6,28
P1371,1,1,#NULL!,3,5,1,6,2,7,8,8,8,8,8,8,7,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,3,5,1,7,2,4,6,28
P1391,1,1,#NULL!,3,6,4,5,2,1,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,6,5,1,3,4,2,7,28
P1424,1,1,#NULL!,3,1,6,5,2,7,8,8,8,8,8,8,7,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,2,5,1,7,4,3,6,28
P1425,1,1,#NULL!,3,5,2,1,7,6,8,8,8,8,8,8,7,4,4,4,11,5,8,0,1,0,0,0,0,0,0,0,4,3,1,7,2,6,5,28
P1436,1,1,#NULL!,3,6,5,1,7,1,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,6,7,1,0,3,2,5,24
P1451,0,1,#NULL!,3,1,5,2,4,5,8,8,8,8,8,8,2,4,4,1,5,3,8,0,1,0,0,0,0,0,0,0,2,4,1,5,6,7,0,25
P1473,1,1,#NULL!,3,5,6,7,1,2,8,8,8,8,8,8,2,4,4,3,11,5,8,0,1,0,0,0,0,0,0,0,5,6,1,7,2,3,4,28
P1474,1,1,#NULL!,3,7,1,2,4,5,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,3,4,1,5,6,7,2,28
P1476,0,1,#NULL!,3,7,5,4,1,6,8,8,8,8,8,8,2,4,4,2,5,3,8,0,1,0,0,0,0,0,0,0,5,7,1,4,3,6,2,28
P1479,1,1,#NULL!,3,5,4,1,2,6,8,8,8,8,8,8,7,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,4,5,1,3,2,6,7,28
P1524,1,1,#NULL!,3,1,5,3,6,2,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,2,6,4,7,3,5,0,27
P1526,1,1,#NULL!,3,5,6,2,7,1,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,6,4,1,7,2,3,5,28
P1528,1,1,#NULL!,3,5,6,1,2,7,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,4,5,1,7,2,3,6,28
P1548,1,1,#NULL!,3,5,2,7,4,1,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,6,3,1,5,2,7,4,28
P1560,1,1,#NULL!,3,5,2,7,4,6,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,7,3,1,5,2,6,4,28
P1572,1,1,#NULL!,3,1,6,5,4,2,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,2,6,1,5,4,3,7,28
P1605,1,1,#NULL!,3,2,4,1,6,7,8,8,8,8,8,8,7,4,4,4,11,5,8,0,1,0,0,0,0,0,0,0,4,2,1,3,7,5,6,28
P1619,1,1,#NULL!,3,6,1,4,5,2,8,8,8,8,8,8,7,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,3,6,1,4,5,2,7,28
P1637,0,1,#NULL!,3,5,7,2,4,6,8,8,8,8,8,8,2,4,4,3,5,3,8,0,1,0,0,0,0,0,0,0,7,4,1,5,2,6,3,28
P1639,0,1,#NULL!,3,5,2,7,1,6,8,8,8,8,8,8,2,4,4,2,5,3,8,0,1,0,0,0,0,0,0,0,5,3,1,7,2,6,4,28
P1654,1,1,#NULL!,3,5,7,1,4,2,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,4,6,1,5,2,7,3,28
P177,1,0,0,3,5,2,7,6,1,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,6,3,1,7,2,5,4,28
P245,1,0,0,3,5,2,1,7,6,8,8,8,8,8,8,2,4,4,2,11,5,8,0,1,0,0,0,0,0,0,0,4,3,1,7,2,6,5,28
P623,1,0,0,3,6,5,7,1,4,8,8,8,8,8,8,7,4,4,4,11,5,8,0,1,0,0,0,0,0,0,0,5,7,1,6,3,2,4,28
P1107,1,0,0,3,2,1,5,7,6,8,8,8,8,8,8,2,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,3,2,1,7,4,6,5,28
P1148,0,0,0,3,1,7,5,2,4,8,8,8,8,8,8,7,4,4,2,5,3,8,0,1,0,0,0,0,0,0,0,2,5,1,6,4,7,3,28
P1337,0,0,0,3,1,5,7,6,2,8,8,8,8,8,8,2,4,4,2,5,3,8,0,1,0,0,0,0,0,0,0,2,6,1,7,3,5,4,28
P1437,0,0,0,3,6,5,7,1,2,8,8,8,8,8,8,2,4,4,2,1,3,8,0,1,0,0,0,0,0,0,0,5,6,1,7,3,2,4,28
P1461,1,0,0,3,1,4,5,5,7,8,8,8,8,8,8,7,4,4,1,11,5,8,0,1,0,0,0,0,0,0,0,2,7,1,3,5,0,6,24
P1665,1,0,0,3,1,6,7,5,2,8,8,8,8,8,8,2,4,4,4,11,5,8,0,1,0,0,0,0,0,0,0,2,6,1,7,5,3,4,28
P9,1,0,1,3,5,4,2,7,2,4,3,5,7,2,1,2,4,4,2,11,5,2,0,1,0,0,0,0,0,0,0,7,6,1,3,2,0,5,24
P21,1,0,1,3,1,6,2,4,5,3,1,4,5,6,2,7,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,2,4,1,5,6,3,7,28
P22,1,0,1,3,1,2,5,7,6,4,5,1,6,2,7,3,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,2,3,1,7,4,6,5,28
P32,1,0,1,3,7,6,5,6,1,3,7,6,4,1,1,2,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,6,7,1,0,4,5,2,25
P40,1,0,1,3,7,5,1,6,2,3,7,5,1,6,2,2,4,4,1,11,5,2,0,1,0,0,0,0,0,0,0,4,6,1,7,3,5,2,28
P41,1,0,1,3,5,6,1,7,4,4,6,3,2,7,5,3,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,4,7,1,6,2,3,5,28
P55,0,0,1,3,6,1,7,2,5,6,2,3,1,7,5,2,4,4,2,5,3,2,0,1,0,0,0,0,0,0,0,3,5,1,7,6,2,4,28
P60,1,0,1,3,5,2,7,1,6,3,1,5,6,2,7,2,4,4,1,11,5,2,0,1,0,0,0,0,0,0,0,5,3,1,7,2,6,4,28
P61,1,0,1,3,5,1,2,7,6,3,1,5,6,7,4,2,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,3,4,1,7,2,6,5,28
P62,1,0,1,3,1,5,6,7,2,5,3,1,6,1,2,7,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,2,6,1,7,3,4,5,28
P64,1,0,1,3,1,7,2,5,6,3,1,4,7,5,6,2,4,4,1,11,5,2,0,1,0,0,0,0,0,0,0,2,4,1,7,5,6,3,28
P66,1,0,1,3,5,7,2,6,1,3,5,2,7,6,1,2,4,4,2,11,5,2,0,1,0,0,0,0,0,0,0,6,4,1,7,2,5,3,28
P68,1,0,1,3,2,1,5,7,4,3,4,2,1,5,7,6,4,4,1,11,5,2,0,1,0,0,0,0,0,0,0,3,2,1,6,4,7,5,28
P97,1,0,1,3,6,4,1,5,7,3,5,6,7,4,1,2,4,4,2,11,5,2,0,1,0,0,0,0,0,0,0,4,7,1,3,5,2,6,28
P102,0,0,1,3,6,2,5,7,6,3,5,7,2,1,4,2,4,4,2,5,3,2,0,1,0,0,0,0,0,0,0,7,3,1,0,4,6,5,26
P104,1,0,1,3,5,7,2,6,1,4,5,7,3,6,1,2,4,4,2,11,5,2,0,1,0,0,0,0,0,0,0,6,4,1,7,2,5,3,28
P129,1,0,1,3,5,7,4,1,2,4,5,7,3,1,6,7,4,4,1,11,5,2,0,1,0,0,0,0,0,0,0,5,6,1,4,2,7,3,28
P135,1,0,1,3,5,1,4,7,6,5,3,1,4,7,6,7,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,3,7,1,4,2,6,5,28
P138,1,0,1,3,6,5,1,7,2,5,6,3,2,4,1,2,4,4,2,11,5,2,0,1,0,0,0,0,0,0,0,4,6,1,7,3,2,5,28
P157,1,0,1,3,2,6,1,5,7,4,5,1,6,7,3,7,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,4,2,1,7,5,3,6,28
P166,1,0,1,3,6,1,4,7,2,3,7,2,6,5,1,2,4,4,1,11,5,2,0,1,0,0,0,0,0,0,0,3,6,1,4,7,2,5,28
P234,1,0,1,3,6,2,5,7,1,1,6,3,5,7,2,7,4,4,4,11,5,7,0,1,0,0,0,0,0,0,0,6,3,1,7,4,2,5,28
P252,1,0,1,3,7,5,4,2,1,5,7,2,3,6,4,2,4,4,2,11,5,2,0,1,0,0,0,0,0,0,0,6,5,1,4,3,7,2,28
P257,1,0,1,3,7,2,1,5,4,3,7,1,5,6,4,2,4,4,4,11,5,2,0,1,0,0,0,0,0,0,0,4,3,1,6,5,7,2,28
P285,0,0,1,3,1,5,2,7,6,5,6,1,7,2,3,2,4,4,1,5,3,7,0,1,0,0,0,0,0,0,0,2,4,1,7,3,6,5,28
P286,1,0,1,3,1,7,5,6,2,7,6,1,5,3,2,7,4,4,2,11,5,7,0,1,0,0,0,0,0,0,0,2,6,1,7,4,5,3,28
P292,1,0,1,3,1,5,2,6,7,3,1,5,2,6,4,3,4,4,1,11,5,2,0,1,0,0,0,0,0,0,0,2,4,1,7,3,5,6,28
P302,1,0,1,3,2,6,5,5,7,5,3,2,6,1,4,2,4,4,4,11,5,7,0,1,0,0,0,0,0,0,0,7,2,1,0,5,3,6,24
P306,1,0,1,3,5,2,6,4,7,3,5,4,2,6,7,2,4,4,2,11,5,2,0,1,0,0,0,0,0,0,0,7,3,1,5,2,4,6,28
P330,1,0,1,3,1,6,2,5,7,6,1,3,5,4,2,7,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,2,4,1,7,5,3,6,28
P346,1,0,1,3,7,5,6,1,4,5,4,7,3,1,6,3,4,4,2,11,5,2,0,1,0,0,0,0,0,0,0,5,7,1,6,3,4,2,28
P389,1,0,1,3,7,5,2,1,6,5,7,6,2,3,1,2,4,4,2,11,5,2,0,1,0,0,0,0,0,0,0,5,4,1,7,3,6,2,28
P402,0,0,1,3,5,1,2,6,4,5,6,1,7,4,2,2,4,4,2,5,3,7,0,1,0,0,0,0,0,0,0,3,4,1,6,2,5,7,28
P413,0,0,1,3,5,4,1,7,2,5,4,3,7,1,6,2,4,4,3,5,3,2,0,1,0,0,0,0,0,0,0,4,6,1,3,2,7,5,28
P433,1,0,1,3,1,4,6,5,5,3,4,1,6,5,7,7,4,4,2,11,5,7,0,1,0,0,0,0,0,0,0,2,7,1,3,6,4,0,23
P467,1,0,1,3,7,6,5,2,1,3,7,4,6,1,2,2,4,4,1,11,5,2,0,1,0,0,0,0,0,0,0,6,5,1,7,4,3,2,28
P486,1,0,1,3,1,6,4,2,5,5,4,6,1,3,2,7,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,2,5,1,4,6,3,7,28
P500,1,0,1,3,1,2,6,7,5,5,4,3,1,6,2,7,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,2,3,1,7,6,4,5,28
P536,0,0,1,3,1,5,7,6,2,3,5,1,7,2,6,7,4,4,2,5,2,7,0,1,0,0,0,0,0,0,0,2,6,1,7,3,5,4,28
P552,1,0,1,3,1,2,6,7,5,3,4,5,2,7,1,7,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,2,3,1,7,6,4,5,28
P554,1,0,1,3,5,6,2,1,7,5,6,3,1,7,6,3,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,5,4,1,7,2,3,6,28
P558,0,0,1,3,5,2,4,7,6,3,4,2,5,6,7,2,4,4,4,1,3,2,0,1,0,0,0,0,0,0,0,7,3,1,4,2,6,5,28
P559,0,0,1,3,7,1,2,5,6,3,1,7,4,5,2,2,4,4,1,1,3,2,0,1,0,0,0,0,0,0,0,3,4,1,7,5,6,2,28
P564,1,0,1,3,5,7,2,4,1,5,4,7,6,2,1,2,4,4,2,11,5,7,0,1,0,0,0,0,0,0,0,6,4,1,5,2,7,3,28
P577,1,0,1,3,2,6,1,5,7,3,6,2,5,1,7,3,4,4,1,11,5,7,0,1,0,0,0,0,0,0,0,4,2,1,7,5,3,6,28
P631,0,0,1,3,5,7,1,2,6,4,5,7,1,6,2,2,4,4,2,5,3,7,0,1,0,0,0,0,0,0,0,4,5,1,7,2,6,3,28
P641,1,0,1,3,5,1,7,6,2,3,5,1,7,6,2,2,4,4,2,11,5,2,0,1,0,0,0,0,0,0,0,3,6,1,7,2,5,4,28
P643,1,0,1,3,2,5,6,5,7,3,2,7,4,5,1,2,4,4,2,11,5,2,0,1,0,0,0,0,0,0,0,7,2,1,0,5,4,6,25
P644,1,0,1,3,1,2,5,7,6,3,1,5,7,6,2,2,4,4,2,11,5,2,0,1,0,0,0,0,0,0,0,2,3,1,7,4,6,5,28
P648,1,0,1,3,5,1,7,2,6,3,1,5,6,7,2,2,4,4,3,11,5,2,0,1,0,0,0,0,0,0,0,3,5,1,7,2,6,4,28
P663,0,0,1,3,1,2,5,6,7,5,4,6,2,3,7,7,4,4,1,5,3,7,0,1,0,0,0,0,0,0,0,2,3,1,7,4,5,6,28
P665,1,0,1,3,5,7,6,1,4,6,5,1,7,4,2,2,4,4,4,11,5,2,0,1,0,0,0,0,0,0,0,5,7,1,6,2,4,3,28
P673,1,0,1,3,1,5,2,4,7,4,3,2,5,6,1,6,4,4,1,11,5,2,0,1,0,0,0,0,0,0,0,2,4,1,5,3,7,6,28
P679,0,0,1,3,5,1,2,6,7,5,2,6,1,7,3,1,4,4,1,1,3,7,0,1,0,0,0,0,0,0,0,3,4,1,7,2,5,6,28
P685,1,0,1,3,1,4,6,7,5,3,1,4,5,7,5,2,4,4,1,11,5,5,0,1,0,0,0,0,0,0,0,2,7,1,3,6,4,5,28
P687,1,0,1,3,4,7,5,6,1,4,5,7,1,6,2,2,4,4,2,11,5,7,0,1,0,0,0,0,0,0,0,6,7,1,2,4,5,3,28
P693,1,0,1,3,7,2,5,4,6,4,3,5,7,2,6,2,4,4,2,11,5,7,0,1,0,0,0,0,0,0,0,7,3,1,5,4,6,2,28
P709,1,0,1,3,5,7,1,2,6,6,5,7,3,1,2,2,4,4,2,11,5,2,0,1,0,0,0,0,0,0,0,4,5,1,7,2,6,3,28
P717,1,0,1,3,5,7,6,7,2,5,7,4,6,1,2,2,4,4,2,11,5,7,0,1,0,0,0,0,0,0,0,7,6,1,0,2,4,5,25
P726,1,0,1,3,5,6,2,7,4,3,7,5,4,6,2,7,4,4,2,11,5,2,0,1,0,0,0,0,0,0,0,7,4,1,6,2,3,5,28
P758,0,0,1,3,5,6,2,4,7,6,5,4,3,7,1,5,4,4,1,5,3,7,0,1,0,0,0,0,0,0,0,7,4,1,5,2,3,6,28
P764,1,0,1,3,7,5,2,1,4,7,6,1,5,4,2,2,4,4,2,11,5,2,0,1,0,0,0,0,0,0,0,5,4,1,6,3,7,2,28
P772,0,0,1,3,1,5,7,6,2,5,7,3,1,2,6,7,4,4,2,5,3,7,0,1,0,0,0,0,0,0,0,2,6,1,7,3,5,4,28
P792,1,0,1,3,1,4,5,7,2,3,1,4,5,2,7,2,4,4,1,11,5,2,0,1,0,0,0,0,0,0,0,2,6,1,3,4,7,5,28
P799,1,0,1,3,1,2,5,7,6,4,5,7,1,3,6,2,4,4,2,11,5,7,0,1,0,0,0,0,0,0,0,2,3,1,7,4,6,5,28
