What is the name of the dog you would like to submit a response for?,How long were you thinking about adding a new dog to the family  before you brought {{field:dog_name}} home?,What was your primary motivation for getting {{field:dog_name}}?,Where did you acquire {{field:dog_name}} from?,Please select the characteristic you found most important when choosing {{field:dog_name}}.,"Your number 1 choice is {{field:char_1_1}}.
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
3. {{field:char_1_3}}
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
3. {{field:char_1_3}}
4. {{field:char_1_4}}
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
3. {{field:char_1_3}}
4. {{field:char_1_4}}
5. {{field:char_1_5}}
What was the next most important characteristic?",Were your primary relationship expectations met?,Do you still live with {{field:dog_name}}?,How long did you and {{field:dog_name}} live together?,Where is {{field:dog_name}} now?,Would you like to enter information for another dog you own(ed)?,Would you ever consider bringing another dog into your life?,Please select the characteristic you find most important from the list.,"Your number 1 choice is {{field:char_2_1}}.
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
3. {{field:char_2_3}}
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
3. {{field:char_2_3}}
4. {{field:char_2_4}}
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
3. {{field:char_2_3}}
4. {{field:char_2_4}}
5. {{field:char_2_5}}
What is next most important characteristic?","If you were to bring another dog into your life, where are you likely to get that dog?",id,msg,list,sep,Submitted At,Token
Fray,1 week - 6 months,Working or sporting,Breeder,Size,Appearance,Individual personality/behavior,Trainability,Breed,Compatability with other pets in the home,Yes,True,,,False,True,Individual personality/behavior,Trainability,Size,Appearance,Breed,Compatability with other pets in the home,Breeder,6ae3c86d69571115b2ce86950c1135d4,We have submissions for:,,", ",3/5/2020 17:36:40,ik0zn9v11971ik0migsct5nou2m0gn4o
Kai,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Breed,Age,Appearance,Trainability,Compatability with other pets in the home,Yes,True,,,True,,,,,,,,,10512a3b7e7191fa3adcffedd08e3135,,, ,3/5/2020 17:36:45,5ljevpts8nxd5huc5ljevptwqq1rgx7i
Axel,Less than 1 week,Relative could not keep the dog,Family member or friend,Compatability with other pets in the home,Trainability,Individual personality/behavior,Size,Appearance,Age,Yes,True,,,True,,,,,,,,,a0ce5fc6b6155de6ac5e027647dc89b9,,, ,3/5/2020 17:37:11,u3tu75slz1ov7npipaku3tu75slsgvuf
Merv,Less than 1 week,Completely unexpected rescue,Shelter/Rescue,Breed,Age,Size,Appearance,Individual personality/behavior,Trainability,"Partially, I accepted the dog and made it work",True,,,False,True,Breed,Appearance,Individual personality/behavior,Trainability,Compatability with other pets in the home,Size,Breeder,aa5cd42466452b011bdebb18f46f95ff,We have submissions for:,,", ",3/5/2020 17:37:44,5ze9p7qv0ofhzgbfgktv5zet5xslubma
Amiga,1 week - 6 months,"Exercise, adventure partner",Shelter/Rescue,Individual personality/behavior,Trainability,Age,Compatability with other pets in the home,Breed,Size,"Partially, I grew to love the dog over time",False,6+ years,Passed,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Appearance,Breed,Size,Shelter/Rescue,774044927bb4417ef6e262fe466fa65b,We have submissions for:,,", ",3/5/2020 17:37:52,eob0gir9ur64fkg8eob0g16yhq5jr0wg
riley,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Size,Appearance,Age,Individual personality/behavior,Trainability,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Size,Appearance,Age,Appearance,Shelter/Rescue,36b61cbe2924ff4568742fb36e052e11,,, ,3/5/2020 17:38:29,vr7wv0rnfv0axwmrvr7wuf98uivvdkoe
Ivan,1 week - 6 months,Companionship and affection,Shelter/Rescue,Compatability with other pets in the home,Individual personality/behavior,Appearance,Breed,Trainability,Age,Yes,False,6+ years,Passed,False,True,Individual personality/behavior,Compatability with other pets in the home,Breed,Age,Trainability,Appearance,Shelter/Rescue,1dac0d86b84006d5c2a596b43159764e,We have submissions for:,,", ",3/5/2020 17:38:49,ioogxl2izvf6d4ft147ioogxsw7ytt9s
Lanna,1 week - 6 months,Companion for another dog or pet,Online,Breed,Age,Compatability with other pets in the home,Individual personality/behavior,Trainability,Appearance,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Age,Size,Breed,Shelter/Rescue,10512a3b7e7191fa3adcffedd08e3135,We have submissions for:,,", ",3/5/2020 17:38:51,5zov0bpd9q2hf69z3wzxf5zov0bpdkpg
Nana,Less than 1 week,Companion for another dog or pet,Family member or friend,Breed,Size,Compatability with other pets in the home,Age,Appearance,Individual personality/behavior,Yes,True,,,False,True,Compatability with other pets in the home,Size,Individual personality/behavior,Appearance,Trainability,Breed,Shelter/Rescue,84371965ebd6b826c32fb76688bcae24,,, ,3/5/2020 17:38:56,z4rgtjlrqjupligmz4rgydc4wv9z0au8
RJ,1 week - 6 months,Companionship and affection,Breeder,Individual personality/behavior,Appearance,Breed,Size,Compatability with other pets in the home,Trainability,Yes,True,,,False,True,Individual personality/behavior,Age,Appearance,Breed,Size,Compatability with other pets in the home,Shelter/Rescue,5affcfdffa67ed0db0f72c5c59444fb5,,, ,3/5/2020 17:39:17,bl3bfyp815wfcrbl3b6rkbfo13walg5i
Sheila,1 week - 6 months,foster dog who was not adapting well to other homes,Shelter/Rescue,Compatability with other pets in the home,Trainability,Individual personality/behavior,Size,Appearance,Age,Yes,True,,,False,True,Compatability with other pets in the home,Trainability,Individual personality/behavior,Size,Appearance,Age,Shelter/Rescue,a0ce5fc6b6155de6ac5e027647dc89b9,We have submissions for:,,", ",3/5/2020 17:39:28,qtpudhe0vg2p3i3vh2qtpudhudw4hvdj
Oden,6+ months - 6 years,"Someone else in the home wanted a dog (e.g. kids, spouse)",Shelter/Rescue,Individual personality/behavior,Size,Appearance,Age,Breed,Trainability,Yes,False,6+ years,Passed,False,False,,,,,,,,02093f7a704d1d81a701e841681c0cac,,, ,3/5/2020 17:39:47,srfyq9wk122b4ng91pcyusrfyq9osmop
Fiona,6+ months - 6 years,Companion for another dog or pet,Breeder,Individual personality/behavior,Trainability,Breed,Size,Appearance,Compatability with other pets in the home,Yes,True,,,False,True,Individual personality/behavior,Breed,Appearance,Compatability with other pets in the home,Trainability,Age,Breeder,a04ab66e673a456ea92d5c360ed190bb,We have submissions for:,,", ",3/5/2020 17:40:02,xyo3mcubvp282vog3xxyo3opvpew1b8i
Molly,6+ months - 6 years,our current dogs were getting very old,Breeder,Size,Compatability with other pets in the home,Age,Appearance,Trainability,Individual personality/behavior,Yes,True,,,False,True,Size,Compatability with other pets in the home,Trainability,Individual personality/behavior,Age,Appearance,Shelter/Rescue,3561bae2000bebf757a68d2daf8bb3ea,,, ,3/5/2020 17:40:15,5d46nss4tx7yn6355d4ylquv0xvrd5z9
Elgie,Less than 1 week,Elgie was a stray and needed a home,Found roaming,Compatability with other pets in the home,Individual personality/behavior,Appearance,Size,Breed,Age,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Size,Appearance,Age,Shelter/Rescue,d7478b67281e331dec0b0c0ba08e1796,,, ,3/5/2020 17:40:16,gus9c1wi2jnf25tvbacgus9s1xil6p56
Dennis,1 week - 6 months,Companionship and affection,Shelter/Rescue,Breed,Size,Appearance,Compatability with other pets in the home,Individual personality/behavior,Age,Yes,True,,,True,,,,,,,,,b0e95aed9a8cd76599c0f6ef593b2dc5,,, ,3/5/2020 17:40:16,xqrt7jjbm5d7dh8o1f3c0xqrt78qhupc
Brodie,1 week - 6 months,Companion for another dog or pet,Breeder,Breed,Individual personality/behavior,Compatability with other pets in the home,Trainability,Age,Appearance,Yes,True,,,True,,,,,,,,,5e39bb4e14af0864acdb1e2b9aaa4087,,, ,3/5/2020 17:40:59,5ouvuh50vxmg6mn1bgo5gb5ouvuh56rp
Luigi,1 week - 6 months,Companionship and affection,Shelter/Rescue,Breed,Compatability with other pets in the home,Individual personality/behavior,Age,Size,Trainability,Yes,True,,,False,True,Compatability with other pets in the home,Breed,Individual personality/behavior,Age,Size,Trainability,Shelter/Rescue,d12a3331edc1a05f0df9758ad8630762,We have submissions for:,,", ",3/5/2020 17:41:26,1byhvd0tz3ikaku5qtcx1byhvuwbar51
Dutch,1 week - 6 months,Companionship and affection,Shelter/Rescue,Size,Appearance,Age,Trainability,Individual personality/behavior,Breed,Yes,True,,,False,True,Size,Appearance,Age,Breed,Trainability,Individual personality/behavior,Shelter/Rescue,b11b08e35cdc3de279b83e106bb10920,,, ,3/5/2020 17:41:44,aagte8lnv47nqxzl3ernzgaagte8jjhu
Hector,6+ years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Appearance,Compatability with other pets in the home,Age,Trainability,Breed,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Appearance,Size,Age,Shelter/Rescue,4d27dfc84687eb80b941c5c14d9ef99c,,, ,3/5/2020 17:42:01,1ols2ivjhyuw0ux951ols2em5u4tyfji
G-dog,1 week - 6 months,"Someone else in the home wanted a dog (e.g. kids, spouse)",Shelter/Rescue,Individual personality/behavior,Size,Appearance,Trainability,Age,Breed,Yes,True,,,True,,,,,,,,,f76cb1cd1aa32984161c950007982af8,,, ,3/5/2020 17:42:09,bq3rdxni7g6sgsxll34wnbq3rdm3tm2c
Bettina,1 week - 6 months,Companionship and affection,Shelter/Rescue,Breed,Individual personality/behavior,Compatability with other pets in the home,Size,Age,Appearance,Yes,False,6+ years,Passed,False,True,Breed,Age,Individual personality/behavior,Size,Appearance,Compatability with other pets in the home,Shelter/Rescue,b0e95aed9a8cd76599c0f6ef593b2dc5,We have submissions for:,,", ",3/5/2020 17:42:11,pk4wz2er1bvbzkczjgh3cpk4wz2ez0p9
Digby,1 week - 6 months,Companionship and affection,Shelter/Rescue,Age,Breed,Size,Individual personality/behavior,Appearance,Compatability with other pets in the home,Yes,True,,,False,True,Age,Compatability with other pets in the home,Size,Breed,Individual personality/behavior,Trainability,Shelter/Rescue,ca1c4c79313b8654bfb07e2aa4ef1b0d,,, ,3/5/2020 17:42:21,dm1xtkn9jev2j2ybjw4dm1xtkl126z14
Kaylee,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Trainability,Age,Size,Breed,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Age,Size,Breed,Shelter/Rescue,1a1625c3b9c8ca9b52ed682948258df2,,, ,3/5/2020 17:42:35,z80qhss5y7mytcww5z80qr5s1vgf022m
Maggie,1 week - 6 months,"Someone else in the home wanted a dog (e.g. kids, spouse)",Family member or friend,Compatability with other pets in the home,Size,Trainability,Age,Individual personality/behavior,Appearance,"Partially, I accepted the dog and made it work",True,,,False,True,Breed,Individual personality/behavior,Trainability,Compatability with other pets in the home,Size,Appearance,Breeder,164fa9849df911239e63772145eb74b4,We have submissions for:,,", ",3/5/2020 17:43:04,09n0svvyradbz8flf09n0svx5t6pny8p
Leila,6+ months - 6 years,Companionship and affection,Online,Size,Age,Individual personality/behavior,Breed,Appearance,Trainability,Yes,True,,,False,False,,,,,,,,cd4c203a4864b575e11eb164de943a50,,, ,3/5/2020 17:43:14,jusapl7ronyenhxnfflvjusapg89yffl
Eli,6+ months - 6 years,Companionship and affection,Breeder,Individual personality/behavior,Breed,Compatability with other pets in the home,Trainability,Age,Size,Yes,True,,,True,,,,,,,,,8f5f709570f4bf0e7995590c08f03f63,,, ,3/5/2020 17:43:19,fes47ildz02ls88tcfes49r7v6bg37vc
Yukiko,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Compatability with other pets in the home,Individual personality/behavior,Breed,Age,Size,Appearance,Yes,True,,,True,,,,,,,,,53a0569d6fcaff236f95b4e59d4430ac,,, ,3/5/2020 17:43:22,l3nlfg9f9mya6vy3bl3nlxw20hw3ag6b
QED,6+ months - 6 years,Social interaction,Breeder,Individual personality/behavior,Trainability,Size,Age,Breed,Compatability with other pets in the home,Yes,True,,,True,,,,,,,,,061ca92ab9232ee80aa89a221f72ee73,,, ,3/5/2020 17:43:26,bybth7u2smifxb6deb402bybtuviirud
Ruby,1 week - 6 months,Companionship and affection,Family member or friend,Individual personality/behavior,Size,Compatability with other pets in the home,Trainability,Breed,Breed,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Size,Breed,Age,Shelter/Rescue,cc5fc764b1f1927567106ff7ad597f53,,, ,3/5/2020 17:43:31,h7ujfvx9a6kllxljf6sh7ujfxiae356u
Gretchen,6+ months - 6 years,Working or sporting,Online,Appearance,Breed,Age,Size,Trainability,Individual personality/behavior,"Partially, I grew to love the dog over time",True,,,False,True,Appearance,Breed,Size,Age,Trainability,Individual personality/behavior,Shelter/Rescue,0d569f0cece8cede3630f2b7bfdc8f61,,, ,3/5/2020 17:43:40,l3nz2ao6i6dbhr4uhaqdl3nz2bjisf99
Metta,6+ months - 6 years,Protection,Shelter/Rescue,Breed,Individual personality/behavior,Appearance,Trainability,Compatability with other pets in the home,Size,"Partially, I grew to love the dog over time",True,,,True,,,,,,,,,fd0a3f45e7b666f0d30e793c5d9403ce,,, ,3/5/2020 17:43:41,8kz98osu8nqi448kz9ndnxkleflv0fxt
Rusty,6+ years,Companionship and affection,Shelter/Rescue,Appearance,Size,Age,Individual personality/behavior,Compatability with other pets in the home,Trainability,Yes,True,,,False,True,Individual personality/behavior,Appearance,Size,Age,Compatability with other pets in the home,Trainability,Shelter/Rescue,e6540b72b6b9c03e409daf590b63f1e3,,, ,3/5/2020 17:43:48,v9nzdtt1k4k9t60sg9pr54v9nzdttymj
George,6+ months - 6 years,Protection,Breeder,Breed,Appearance,Age,Individual personality/behavior,Trainability,Size,Yes,False,6+ years,Passed,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Age,Breed,Appearance,Shelter/Rescue,5e39bb4e14af0864acdb1e2b9aaa4087,We have submissions for:,,", ",3/5/2020 17:43:59,0rfgb34k8h8xcnl0rfgbnf77stgmy78i
Schooner,1 week - 6 months,Companionship and affection,Breeder,Breed,Appearance,Size,Individual personality/behavior,Trainability,Age,Yes,True,,,False,True,Individual personality/behavior,Breed,Appearance,Size,Trainability,Age,Breeder,604c480ac3678a8f58d216256dd418e7,,, ,3/5/2020 17:44:19,p9bncrvkuji4jplou5fwp9bncw4axklw
D-dog,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Trainability,Size,Appearance,Age,Yes,True,,,False,True,Age,Individual personality/behavior,Size,Breed,Compatability with other pets in the home,Trainability,Shelter/Rescue,f76cb1cd1aa32984161c950007982af8,We have submissions for:,,", ",3/5/2020 17:44:34,e3dd63aa56swk0ptx4gye3dd63a3vuxh
Moxie,1 week - 6 months,Working or sporting,Breeder,Size,Trainability,Individual personality/behavior,Compatability with other pets in the home,Age,Breed,Yes,True,,,False,True,Size,Individual personality/behavior,Compatability with other pets in the home,Age,Breed,Trainability,Breeder,5fd1cc822a5e6bc65352a91536c21772,,, ,3/5/2020 17:44:55,dkt8f1nd6ea5gducgimgpb5r170p1ygy
Cody,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Age,Breed,Individual personality/behavior,Compatability with other pets in the home,Trainability,Size,Yes,True,,,True,,,,,,,,,ec4a08f59d3aebb9eb5089265150e06d,,, ,3/5/2020 17:45:03,ghhto588i1e1g8etzighhto53sy1hne0
Barney,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Appearance,Individual personality/behavior,Age,Size,Compatability with other pets in the home,Size,Yes,True,,,False,True,Individual personality/behavior,Size,Breed,Trainability,Age,Compatability with other pets in the home,Shelter/Rescue,fd0a3f45e7b666f0d30e793c5d9403ce,We have submissions for:,,", ",3/5/2020 17:45:22,wrsvv0l0l01qf2tn4rdmyluwrsvv0lcm
Tiberius,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Trainability,Age,Size,Appearance,Breed,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Age,Size,Appearance,Shelter/Rescue,bc2535853e3584bf1424711232154515,,, ,3/5/2020 17:45:29,vafmrwjfimxyrs71npvafmrlngcdp4qh
Sakura,6+ months - 6 years,"Someone else in the home wanted a dog (e.g. kids, spouse)",Breeder,Breed,Age,Individual personality/behavior,Appearance,Compatability with other pets in the home,Size,Yes,True,,,True,,,,,,,,,53a0569d6fcaff236f95b4e59d4430ac,We have submissions for:,,", ",3/5/2020 17:45:31,wb2u5x2cqimyxl9blkcwb2u5xfu4p9oz
Simba,Less than 1 week,He needed a home,Family member or friend,Individual personality/behavior,Compatability with other pets in the home,Trainability,Size,Age,Breed,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Size,Trainability,Breed,Age,Shelter/Rescue,3cbd255a7a489fcc649f5db2ad3163e8,,, ,3/5/2020 17:45:47,w6rp6xbg8xe7pw6rp6xsx95qc72w3q4d
Tinker,Less than 1 week,Companion for another dog or pet,Family member or friend,Compatability with other pets in the home,Size,Age,Breed,Trainability,Appearance,"Partially, I grew to love the dog over time",True,,,False,True,Size,Age,Individual personality/behavior,Appearance,Trainability,Compatability with other pets in the home,Shelter/Rescue,c2aef1edde7d06830777c4d5b1dd2f98,,, ,3/5/2020 17:45:54,bck0rdqmr8uqxbck09z34jdcc3k9bld1
Rusty,6+ months - 6 years,Social interaction,Breeder,Individual personality/behavior,Size,Age,Trainability,Compatability with other pets in the home,Breed,Yes,True,,,False,True,Size,Individual personality/behavior,Trainability,Age,Breed,Compatability with other pets in the home,Breeder,061ca92ab9232ee80aa89a221f72ee73,We have submissions for:,,", ",3/5/2020 17:46:34,del3sz3q1exz0z23m7odel3htpdt1c4a
Sparky,6+ months - 6 years,Companion for another dog or pet,Another country or island,Individual personality/behavior,Compatability with other pets in the home,Age,Size,Trainability,Appearance,Yes,True,,,True,,,,,,,,,708a12fc72828e0337856412c843e6d1,,, ,3/5/2020 17:46:45,lhvc397qq1cabadboqlhvc392647g6dv
Wallace,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Appearance,Breed,Age,Size,Trainability,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Appearance,Age,Size,Shelter/Rescue,92ebfa7709d43caaca2b3b628d061ae3,,, ,3/5/2020 17:46:47,c7drzaqejw3gh2kl6wec7drzg95on9re
Fiona,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Breed,Compatability with other pets in the home,Individual personality/behavior,Trainability,Age,Compatability with other pets in the home,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Age,Breed,Size,Shelter/Rescue,ec4a08f59d3aebb9eb5089265150e06d,We have submissions for:,,", ",3/5/2020 17:47:02,20789c10tk7y8820yi1rkea624g3dzx2
Parker,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Trainability,Breed,Compatability with other pets in the home,Appearance,Age,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Age,Size,Age,Shelter/Rescue,c123a776414dbf30b64bbce4e76d2ff2,,, ,3/5/2020 17:47:15,i5vz5poptqew7c9ut9w5a1i5vz5po51y
Wasabi,6+ months - 6 years,Working or sporting,Breeder,Trainability,Compatability with other pets in the home,Breed,Individual personality/behavior,Age,Appearance,Yes,True,,,False,True,Trainability,Compatability with other pets in the home,Individual personality/behavior,Breed,Age,Appearance,Breeder,e433eb53c23affcc3e4e2256fd59ba87,,, ,3/5/2020 17:47:37,s0t0umlfwr9kjxeb85khs0t0umjpu4nc
Daisy,Less than 1 week,Was a foster ,Shelter/Rescue,Compatability with other pets in the home,Individual personality/behavior,Breed,Age,Size,Appearance,Yes,True,,,True,,,,,,,,,53a0569d6fcaff236f95b4e59d4430ac,We have submissions for:,,", ",3/5/2020 17:48:09,un09w9odw9j4sun09w9lhzepv7qx5u6h
Emma,6+ months - 6 years,Companionship and affection,Breeder,Breed,Individual personality/behavior,Size,Trainability,Appearance,Age,Yes,True,,,False,True,Individual personality/behavior,Size,Trainability,Breed,Age,Appearance,Breeder,e7ce3bd4048a307c063abdfd35c87099,,, ,3/5/2020 17:48:30,2hhrp33entfk604e4qt2hhrpuncwy2u3
Grace,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Size,Appearance,Age,Trainability,Breed,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Age,Appearance,Size,Trainability,Shelter/Rescue,708a12fc72828e0337856412c843e6d1,We have submissions for:,,", ",3/5/2020 17:48:42,y7n68kdjdzjz6y7n6766jyexp2l9uahh
Sunny,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Breed,Age,Size,Appearance,Individual personality/behavior,Trainability,Yes,True,,,False,True,Breed,Age,Individual personality/behavior,Trainability,Size,Appearance,Shelter/Rescue,bb4140137506a6cd36312dad5fac5c17,,, ,3/5/2020 17:48:55,wjkmn9btbxuzeuhtdrqoiwjkmn9jnejs
Baxter,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Trainability,Size,Breed,Age,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Size,Age,Breed,Shelter/Rescue,1a0a15e4b98dfe1d7753a6922e53f920,,, ,3/5/2020 17:49:25,q5ydcgohqmftgq5ywkkz3chk9gtridow
Rocky,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Size,Breed,Compatability with other pets in the home,Appearance,Trainability,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Age,Trainability,Size,Breed,Shelter/Rescue,e9409e607f4b44b82cd89e4369262874,,, ,3/5/2020 17:49:27,enfw4e0g4z26n1ml2a3rz3eenfw4hwk2
Ruckus,6+ months - 6 years,Companionship and affection,Breeder,Breed,Individual personality/behavior,Age,Trainability,Appearance,Size,Yes,True,,,True,,,,,,,,,50f31ea8260bf0b53f574e5386181222,,, ,3/5/2020 17:50:17,sbsz3dv3im8fqvykjojdsbswazheh078
Roxy,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Size,Age,Trainability,Breed,Yes,True,,,True,,,,,,,,,70029a3e9161501078566cf97d7c19a3,,, ,3/5/2020 17:51:20,72zf6p7buiht8xaucy55z72zf6op0bv8
Maximo,1 week - 6 months,"Someone else in the home wanted a dog (e.g. kids, spouse)",Breeder,Individual personality/behavior,Age,Breed,Appearance,Compatability with other pets in the home,Size,"Partially, I accepted the dog and made it work",True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Breed,Size,Age,Appearance,Breeder,53a0569d6fcaff236f95b4e59d4430ac,We have submissions for:,,", ",3/5/2020 17:51:35,9obbb3hkh3t11rsszn9obbb39v6y54gm
Bonnie,Less than 1 week,She is an Australian Cattle Dog with a lot of issues.  I am an experienced cattle dog owner who knew I could giver her a good home.  She turned out to be a wonderful dog. ,Shelter/Rescue,Breed,Individual personality/behavior,Trainability,Size,Age,Appearance,Yes,True,,,True,,,,,,,,,baf55e1843439fb5b981bbfabb22b395,,, ,3/5/2020 17:51:40,tttudashb9n8sav5l8tttudkipjw9igo
Aidan,Less than 1 week,"Someone else in the home wanted a dog (e.g. kids, spouse)",Family member or friend,Age,Appearance,Individual personality/behavior,Size,Trainability,Compatability with other pets in the home,Yes,True,,,True,,,,,,,,,f267e446d3b7a070b55e1fff64371b4b,,, ,3/5/2020 17:52:16,kdi75n0l6q5n6ztzqkdi75xro8nlx1la
Henry,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Size,Age,Trainability,Breed,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Size,Age,Trainability,Breed,Shelter/Rescue,70029a3e9161501078566cf97d7c19a3,We have submissions for:,,", ",3/5/2020 17:52:26,n3g6xefveccgx0qn7n3g6x8nlwz2l3ya
Cody,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Age,Breed,Compatability with other pets in the home,Size,Appearance,Yes,False,6+ years,Passed,True,,,,,,,,,9fe540750862741fe5729d71dfb714e0,,, ,3/5/2020 17:52:38,l5klpupmho3sno83m8j3qul5klpiq97f
Betty,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Compatability with other pets in the home,Individual personality/behavior,Age,Size,Breed,Trainability,Yes,True,,,True,,,,,,,,,4100f21f2dd74ab9cdec3abf237e500c,,, ,3/5/2020 17:53:03,cxsn9k0u037hbnwqocxsn9jr0ika671t
Oakley,6+ months - 6 years,Working or sporting,Shelter/Rescue,Individual personality/behavior,Trainability,Breed,Age,Size,Appearance,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Breed,Age,Size,Breeder,49949687bd49079b293baa0016025b03,,, ,3/5/2020 17:54:14,74baqtizmm74baax2s1dvklddgksth43
Rosie,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Breed,Appearance,Size,Trainability,Trainability,Yes,True,,,False,True,Breed,Individual personality/behavior,Size,Trainability,Appearance,Compatability with other pets in the home,Shelter/Rescue,0dbd98b2cead41181c953e9066f3d4d8,,, ,3/5/2020 17:54:15,19agh02ed2okqr70zn19agh0m996ohav
Fly,6+ months - 6 years,Companionship and affection,Breeder,Individual personality/behavior,Compatability with other pets in the home,Breed,Age,Appearance,Trainability,Yes,True,,,False,True,Breed,Individual personality/behavior,Compatability with other pets in the home,Trainability,Age,Appearance,Breeder,50f31ea8260bf0b53f574e5386181222,We have submissions for:,,", ",3/5/2020 17:54:15,71ppl18oceoa7usr4d71p6pohau2yazq
Penny,1 week - 6 months,I was a volunteer at Penny's shelter and she became very attached to me so I knew I had to take her home.,Shelter/Rescue,Appearance,Size,Individual personality/behavior,Trainability,Age,Breed,Yes,True,,,False,False,,,,,,,,baf55e1843439fb5b981bbfabb22b395,We have submissions for:,,", ",3/5/2020 17:54:28,2cu0351x9lirszg2cu035jsddqlqu46z
Soda,1 week - 6 months,Saved from euthanasia ,Shelter/Rescue,Age,Trainability,Individual personality/behavior,Appearance,Size,Compatability with other pets in the home,Yes,True,,,False,True,Individual personality/behavior,Trainability,Compatability with other pets in the home,Appearance,Size,Age,Shelter/Rescue,f267e446d3b7a070b55e1fff64371b4b,We have submissions for:,,", ",3/5/2020 17:54:57,484o90a26ks8leh0z03484o9xeeb1l81
Lil'Un,1 week - 6 months,Protection,Breeder,Breed,Appearance,Size,Individual personality/behavior,Age,Compatability with other pets in the home,Yes,True,,,True,,,,,,,,,9fe540750862741fe5729d71dfb714e0,We have submissions for:,,", ",3/5/2020 17:55:06,hdtdu8dco9zakpsek5egahdtdu8dcalr
Tristan,1 week - 6 months,Companionship and affection,Shelter/Rescue,Size,Trainability,Age,Breed,Appearance,Individual personality/behavior,Yes,True,,,False,True,Size,Trainability,Age,Breed,Appearance,Individual personality/behavior,Shelter/Rescue,6eecee88d636e5b6d65e626852cc9a89,,, ,3/5/2020 17:55:17,rxnfncv6qfbpnnx0wrxnfncm3kkd4d5m
